run_id,group,family,size,direction,depth,materialization,mode,implementation,seed,rep,status,wall_ms,peak_rss_kib,fact_count
00001-bounds-chain-8-forward-s47-d2-m0-verdict-nibli-r0,bounds,chain,8,forward,2,False,verdict,nibli,47,0,ok,695.1317209986883,6308,8
00002-bounds-chain-8-forward-s47-d2-m0-verdict-nibli-r1,bounds,chain,8,forward,2,False,verdict,nibli,47,1,ok,651.6144529996382,6308,8
00003-bounds-chain-8-forward-s47-d2-m0-verdict-nibli-r2,bounds,chain,8,forward,2,False,verdict,nibli,47,2,ok,633.2019660003425,6308,8
00005-bounds-policy-100-both-s11-d10-m1-verdict-nibli-r0,bounds,policy,100,both,10,True,verdict,nibli,11,0,ok,62.72332499975164,6564,99
00006-bounds-policy-100-both-s11-d10-m1-verdict-nibli-r1,bounds,policy,100,both,10,True,verdict,nibli,11,1,ok,45.99267300000065,6564,99
00007-bounds-policy-100-both-s11-d10-m1-verdict-nibli-r2,bounds,policy,100,both,10,True,verdict,nibli,11,2,ok,49.82087799908186,6564,99
00009-evidence-policy-100-both-s83-d10-m1-verdict-nibli-r0,evidence,policy,100,both,10,True,verdict,nibli,83,0,ok,51.191674001529464,6436,98
00010-evidence-policy-100-both-s83-d10-m1-verdict-nibli-r1,evidence,policy,100,both,10,True,verdict,nibli,83,1,ok,47.842187001151615,6436,98
00011-evidence-policy-100-both-s83-d10-m1-verdict-nibli-r2,evidence,policy,100,both,10,True,verdict,nibli,83,2,ok,46.14468500039948,6436,98
00013-evidence-policy-100-both-s23-d10-m1-certificate-nibli-r0,evidence,policy,100,both,10,True,certificate,nibli,23,0,ok,51.408774001174606,7076,97
00014-evidence-policy-100-both-s23-d10-m1-certificate-nibli-r1,evidence,policy,100,both,10,True,certificate,nibli,23,1,ok,50.80079700019269,7076,97
00015-evidence-policy-100-both-s23-d10-m1-certificate-nibli-r2,evidence,policy,100,both,10,True,certificate,nibli,23,2,ok,57.59668199971202,7076,97
00017-bounds-policy-100-both-s11-d5-m0-verdict-nibli-r0,bounds,policy,100,both,5,False,verdict,nibli,11,0,ok,3767.6023390013142,120324,99
00018-bounds-policy-100-both-s11-d5-m0-verdict-nibli-r1,bounds,policy,100,both,5,False,verdict,nibli,11,1,ok,3755.9440539989737,121400,99
00019-bounds-policy-100-both-s11-d5-m0-verdict-nibli-r2,bounds,policy,100,both,5,False,verdict,nibli,11,2,ok,3861.7551010011084,122164,99
00023-comparison-chain-8-forward-s47-d10-m1-verdict-souffle-r0,comparison,chain,8,forward,10,True,verdict,souffle,47,0,ok,4.565409000861109,5692,8
00024-comparison-chain-8-forward-s47-d10-m1-verdict-nibli-r0,comparison,chain,8,forward,10,True,verdict,nibli,47,0,ok,2787.58021899921,6948,8
00025-comparison-chain-8-forward-s47-d10-m1-verdict-clingo-r0,comparison,chain,8,forward,10,True,verdict,clingo,47,0,ok,6.7162659997848095,7756,8
00026-comparison-chain-8-forward-s47-d10-m1-verdict-nibli-r1,comparison,chain,8,forward,10,True,verdict,nibli,47,1,ok,2835.697918999358,6820,8
00027-comparison-chain-8-forward-s47-d10-m1-verdict-souffle-r1,comparison,chain,8,forward,10,True,verdict,souffle,47,1,ok,5.216360001213616,5692,8
00028-comparison-chain-8-forward-s47-d10-m1-verdict-clingo-r1,comparison,chain,8,forward,10,True,verdict,clingo,47,1,ok,5.047507000199403,7756,8
00029-comparison-chain-8-forward-s47-d10-m1-verdict-souffle-r2,comparison,chain,8,forward,10,True,verdict,souffle,47,2,ok,4.314329000408179,5692,8
00030-comparison-chain-8-forward-s47-d10-m1-verdict-clingo-r2,comparison,chain,8,forward,10,True,verdict,clingo,47,2,ok,4.3346000002202345,7884,8
00031-comparison-chain-8-forward-s47-d10-m1-verdict-nibli-r2,comparison,chain,8,forward,10,True,verdict,nibli,47,2,ok,2955.240204000802,6948,8
00033-evidence-policy-10000-both-s23-d10-m1-certificate-nibli-r0,evidence,policy,10000,both,10,True,certificate,nibli,23,0,timeout,30008.10786799957,57048,10016
00034-evidence-policy-10000-both-s23-d10-m1-certificate-nibli-r1,evidence,policy,10000,both,10,True,certificate,nibli,23,1,timeout,30008.734297000046,55896,10016
00035-evidence-policy-10000-both-s23-d10-m1-certificate-nibli-r2,evidence,policy,10000,both,10,True,certificate,nibli,23,2,timeout,30007.47322300049,53712,10016
00037-bounds-chain-8-backward-s131-d2-m0-verdict-nibli-r0,bounds,chain,8,backward,2,False,verdict,nibli,131,0,ok,35.20320300049207,4900,8
00038-bounds-chain-8-backward-s131-d2-m0-verdict-nibli-r1,bounds,chain,8,backward,2,False,verdict,nibli,131,1,ok,33.9661950001755,4900,8
00039-bounds-chain-8-backward-s131-d2-m0-verdict-nibli-r2,bounds,chain,8,backward,2,False,verdict,nibli,131,2,ok,34.646774000066216,4900,8
00041-bounds-chain-8-forward-s131-d20-m1-verdict-nibli-r0,bounds,chain,8,forward,20,True,verdict,nibli,131,0,ok,2954.298700999061,6948,8
00042-bounds-chain-8-forward-s131-d20-m1-verdict-nibli-r1,bounds,chain,8,forward,20,True,verdict,nibli,131,1,ok,2997.964834999948,6820,8
00043-bounds-chain-8-forward-s131-d20-m1-verdict-nibli-r2,bounds,chain,8,forward,20,True,verdict,nibli,131,2,ok,3009.5234740001615,6948,8
00045-bounds-policy-100-both-s47-d20-m0-verdict-nibli-r0,bounds,policy,100,both,20,False,verdict,nibli,47,0,ok,3491.7855830008193,116456,93
00046-bounds-policy-100-both-s47-d20-m0-verdict-nibli-r1,bounds,policy,100,both,20,False,verdict,nibli,47,1,ok,3490.551594999488,113592,93
00047-bounds-policy-100-both-s47-d20-m0-verdict-nibli-r2,bounds,policy,100,both,20,False,verdict,nibli,47,2,ok,3498.451166999075,114328,93
00049-bounds-chain-8-backward-s11-d5-m0-verdict-nibli-r0,bounds,chain,8,backward,5,False,verdict,nibli,11,0,ok,34.40217900060816,4900,8
00050-bounds-chain-8-backward-s11-d5-m0-verdict-nibli-r1,bounds,chain,8,backward,5,False,verdict,nibli,11,1,ok,34.488834000512725,4900,8
00051-bounds-chain-8-backward-s11-d5-m0-verdict-nibli-r2,bounds,chain,8,backward,5,False,verdict,nibli,11,2,ok,32.74015200076974,4900,8
00053-bounds-policy-100-both-s47-d5-m0-verdict-nibli-r0,bounds,policy,100,both,5,False,verdict,nibli,47,0,ok,3459.5262149996415,117180,93
00054-bounds-policy-100-both-s47-d5-m0-verdict-nibli-r1,bounds,policy,100,both,5,False,verdict,nibli,47,1,ok,3707.872433000375,113688,93
00055-bounds-policy-100-both-s47-d5-m0-verdict-nibli-r2,bounds,policy,100,both,5,False,verdict,nibli,47,2,ok,3511.6055519993097,113596,93
00057-bounds-chain-8-forward-s131-d10-m0-verdict-nibli-r0,bounds,chain,8,forward,10,False,verdict,nibli,131,0,ok,2986.4958340003795,6948,8
00058-bounds-chain-8-forward-s131-d10-m0-verdict-nibli-r1,bounds,chain,8,forward,10,False,verdict,nibli,131,1,ok,2987.024519999977,6820,8
00059-bounds-chain-8-forward-s131-d10-m0-verdict-nibli-r2,bounds,chain,8,forward,10,False,verdict,nibli,131,2,ok,3021.904220000579,6948,8
00061-bounds-chain-8-forward-s47-d20-m1-verdict-nibli-r0,bounds,chain,8,forward,20,True,verdict,nibli,47,0,ok,2838.220744000864,6948,8
00062-bounds-chain-8-forward-s47-d20-m1-verdict-nibli-r1,bounds,chain,8,forward,20,True,verdict,nibli,47,1,ok,2942.729099000644,6948,8
00063-bounds-chain-8-forward-s47-d20-m1-verdict-nibli-r2,bounds,chain,8,forward,20,True,verdict,nibli,47,2,ok,2919.8379720000958,6948,8
00065-bounds-chain-8-backward-s11-d2-m1-verdict-nibli-r0,bounds,chain,8,backward,2,True,verdict,nibli,11,0,ok,34.92913100126316,4900,8
00066-bounds-chain-8-backward-s11-d2-m1-verdict-nibli-r1,bounds,chain,8,backward,2,True,verdict,nibli,11,1,ok,34.96221199930005,4900,8
00067-bounds-chain-8-backward-s11-d2-m1-verdict-nibli-r2,bounds,chain,8,backward,2,True,verdict,nibli,11,2,ok,34.889579999799025,4900,8
00069-bounds-chain-8-backward-s23-d2-m0-verdict-nibli-r0,bounds,chain,8,backward,2,False,verdict,nibli,23,0,ok,38.01875499993912,4900,8
00070-bounds-chain-8-backward-s23-d2-m0-verdict-nibli-r1,bounds,chain,8,backward,2,False,verdict,nibli,23,1,ok,35.86997700040229,4900,8
00071-bounds-chain-8-backward-s23-d2-m0-verdict-nibli-r2,bounds,chain,8,backward,2,False,verdict,nibli,23,2,ok,36.708698000438744,4900,8
00075-comparison-chain-8-forward-s23-d10-m1-verdict-clingo-r0,comparison,chain,8,forward,10,True,verdict,clingo,23,0,ok,4.665590000513475,7884,8
00076-comparison-chain-8-forward-s23-d10-m1-verdict-souffle-r0,comparison,chain,8,forward,10,True,verdict,souffle,23,0,ok,4.295089000152075,5692,8
00077-comparison-chain-8-forward-s23-d10-m1-verdict-nibli-r0,comparison,chain,8,forward,10,True,verdict,nibli,23,0,ok,7080.875339999693,6948,8
00078-comparison-chain-8-forward-s23-d10-m1-verdict-souffle-r1,comparison,chain,8,forward,10,True,verdict,souffle,23,1,ok,5.035337000663276,5692,8
00079-comparison-chain-8-forward-s23-d10-m1-verdict-clingo-r1,comparison,chain,8,forward,10,True,verdict,clingo,23,1,ok,4.631212999811396,7756,8
00080-comparison-chain-8-forward-s23-d10-m1-verdict-nibli-r1,comparison,chain,8,forward,10,True,verdict,nibli,23,1,ok,7078.3469260004495,6948,8
00081-comparison-chain-8-forward-s23-d10-m1-verdict-nibli-r2,comparison,chain,8,forward,10,True,verdict,nibli,23,2,ok,7074.827766000453,6948,8
00082-comparison-chain-8-forward-s23-d10-m1-verdict-souffle-r2,comparison,chain,8,forward,10,True,verdict,souffle,23,2,ok,4.868447000262677,5692,8
00083-comparison-chain-8-forward-s23-d10-m1-verdict-clingo-r2,comparison,chain,8,forward,10,True,verdict,clingo,23,2,ok,4.782635000083246,7756,8
00087-comparison-chain-4-backward-s23-d10-m1-verdict-nibli-r0,comparison,chain,4,backward,10,True,verdict,nibli,23,0,ok,9.190504999423865,4644,4
00088-comparison-chain-4-backward-s23-d10-m1-verdict-souffle-r0,comparison,chain,4,backward,10,True,verdict,souffle,23,0,ok,4.197711999950116,5692,4
00089-comparison-chain-4-backward-s23-d10-m1-verdict-clingo-r0,comparison,chain,4,backward,10,True,verdict,clingo,23,0,ok,4.2183429995930055,7884,4
00090-comparison-chain-4-backward-s23-d10-m1-verdict-nibli-r1,comparison,chain,4,backward,10,True,verdict,nibli,23,1,ok,9.320184999523917,4644,4
00091-comparison-chain-4-backward-s23-d10-m1-verdict-souffle-r1,comparison,chain,4,backward,10,True,verdict,souffle,23,1,ok,4.024706000564038,5692,4
00092-comparison-chain-4-backward-s23-d10-m1-verdict-clingo-r1,comparison,chain,4,backward,10,True,verdict,clingo,23,1,ok,4.47363800049061,7756,4
00093-comparison-chain-4-backward-s23-d10-m1-verdict-souffle-r2,comparison,chain,4,backward,10,True,verdict,souffle,23,2,ok,4.064321999976528,5692,4
00094-comparison-chain-4-backward-s23-d10-m1-verdict-nibli-r2,comparison,chain,4,backward,10,True,verdict,nibli,23,2,ok,9.156386000540806,4644,4
00095-comparison-chain-4-backward-s23-d10-m1-verdict-clingo-r2,comparison,chain,4,backward,10,True,verdict,clingo,23,2,ok,4.408615999636822,7756,4
00097-bounds-policy-100-both-s11-d5-m1-verdict-nibli-r0,bounds,policy,100,both,5,True,verdict,nibli,11,0,ok,46.95803499998874,6564,99
00098-bounds-policy-100-both-s11-d5-m1-verdict-nibli-r1,bounds,policy,100,both,5,True,verdict,nibli,11,1,ok,48.40179900020303,6564,99
00099-bounds-policy-100-both-s11-d5-m1-verdict-nibli-r2,bounds,policy,100,both,5,True,verdict,nibli,11,2,ok,48.379464000390726,6564,99
00101-bounds-policy-100-both-s47-d2-m0-verdict-nibli-r0,bounds,policy,100,both,2,False,verdict,nibli,47,0,ok,3502.369584000917,116000,93
00102-bounds-policy-100-both-s47-d2-m0-verdict-nibli-r1,bounds,policy,100,both,2,False,verdict,nibli,47,1,ok,3694.9323199987703,116160,93
00103-bounds-policy-100-both-s47-d2-m0-verdict-nibli-r2,bounds,policy,100,both,2,False,verdict,nibli,47,2,ok,5372.902773000533,117660,93
00105-bounds-chain-8-backward-s47-d5-m0-verdict-nibli-r0,bounds,chain,8,backward,5,False,verdict,nibli,47,0,ok,43.672438001522096,4900,8
00106-bounds-chain-8-backward-s47-d5-m0-verdict-nibli-r1,bounds,chain,8,backward,5,False,verdict,nibli,47,1,ok,39.03802500099118,4900,8
00107-bounds-chain-8-backward-s47-d5-m0-verdict-nibli-r2,bounds,chain,8,backward,5,False,verdict,nibli,47,2,ok,40.59563299961155,4900,8
00111-comparison-policy-1000-both-s11-d10-m1-verdict-souffle-r0,comparison,policy,1000,both,10,True,verdict,souffle,11,0,ok,5.515283999557141,5912,980
00112-comparison-policy-1000-both-s11-d10-m1-verdict-nibli-r0,comparison,policy,1000,both,10,True,verdict,nibli,11,0,ok,4045.7859960006317,23164,980
00113-comparison-policy-1000-both-s11-d10-m1-verdict-clingo-r0,comparison,policy,1000,both,10,True,verdict,clingo,11,0,ok,8.605281000200193,8140,980
00114-comparison-policy-1000-both-s11-d10-m1-verdict-clingo-r1,comparison,policy,1000,both,10,True,verdict,clingo,11,1,ok,7.116824001059285,8140,980
00115-comparison-policy-1000-both-s11-d10-m1-verdict-souffle-r1,comparison,policy,1000,both,10,True,verdict,souffle,11,1,ok,5.379372001698357,5912,980
00116-comparison-policy-1000-both-s11-d10-m1-verdict-nibli-r1,comparison,policy,1000,both,10,True,verdict,nibli,11,1,ok,3953.252600000269,23264,980
00117-comparison-policy-1000-both-s11-d10-m1-verdict-souffle-r2,comparison,policy,1000,both,10,True,verdict,souffle,11,2,ok,5.733090998546686,5912,980
00118-comparison-policy-1000-both-s11-d10-m1-verdict-clingo-r2,comparison,policy,1000,both,10,True,verdict,clingo,11,2,ok,7.125563999579754,8140,980
00119-comparison-policy-1000-both-s11-d10-m1-verdict-nibli-r2,comparison,policy,1000,both,10,True,verdict,nibli,11,2,ok,4116.073457998937,23200,980
00121-evidence-policy-100-both-s131-d10-m1-verdict-nibli-r0,evidence,policy,100,both,10,True,verdict,nibli,131,0,ok,51.193006000175956,6692,100
00122-evidence-policy-100-both-s131-d10-m1-verdict-nibli-r1,evidence,policy,100,both,10,True,verdict,nibli,131,1,ok,51.333620000150404,6692,100
00123-evidence-policy-100-both-s131-d10-m1-verdict-nibli-r2,evidence,policy,100,both,10,True,verdict,nibli,131,2,ok,51.91524399924674,6692,100
00125-evidence-policy-1000-both-s83-d10-m1-certificate-nibli-r0,evidence,policy,1000,both,10,True,certificate,nibli,83,0,ok,4071.9822270002624,27984,969
00126-evidence-policy-1000-both-s83-d10-m1-certificate-nibli-r1,evidence,policy,1000,both,10,True,certificate,nibli,83,1,ok,4137.746459999107,28052,969
00127-evidence-policy-1000-both-s83-d10-m1-certificate-nibli-r2,evidence,policy,1000,both,10,True,certificate,nibli,83,2,ok,4115.296470999965,28024,969
00131-comparison-chain-8-backward-s11-d10-m1-verdict-nibli-r0,comparison,chain,8,backward,10,True,verdict,nibli,11,0,ok,35.982239998702426,4900,8
00132-comparison-chain-8-backward-s11-d10-m1-verdict-souffle-r0,comparison,chain,8,backward,10,True,verdict,souffle,11,0,ok,4.658816000301158,5692,8
00133-comparison-chain-8-backward-s11-d10-m1-verdict-clingo-r0,comparison,chain,8,backward,10,True,verdict,clingo,11,0,ok,5.174146001081681,7884,8
00134-comparison-chain-8-backward-s11-d10-m1-verdict-souffle-r1,comparison,chain,8,backward,10,True,verdict,souffle,11,1,ok,4.935633998684352,5692,8
00135-comparison-chain-8-backward-s11-d10-m1-verdict-nibli-r1,comparison,chain,8,backward,10,True,verdict,nibli,11,1,ok,37.86218099958205,4900,8
00136-comparison-chain-8-backward-s11-d10-m1-verdict-clingo-r1,comparison,chain,8,backward,10,True,verdict,clingo,11,1,ok,7.873488999393885,7756,8
00137-comparison-chain-8-backward-s11-d10-m1-verdict-nibli-r2,comparison,chain,8,backward,10,True,verdict,nibli,11,2,ok,37.72582300007343,4900,8
00138-comparison-chain-8-backward-s11-d10-m1-verdict-souffle-r2,comparison,chain,8,backward,10,True,verdict,souffle,11,2,ok,4.982147998816799,5692,8
00139-comparison-chain-8-backward-s11-d10-m1-verdict-clingo-r2,comparison,chain,8,backward,10,True,verdict,clingo,11,2,ok,4.551550999167375,7884,8
00141-updates-policy-1000-both-s11-d10-m1-updates-nibli-r0,updates,policy,1000,both,10,True,updates,nibli,11,0,ok,27033.12644500147,50980,981
00142-updates-policy-1000-both-s11-d10-m1-updates-nibli-r1,updates,policy,1000,both,10,True,updates,nibli,11,1,ok,25745.622465999986,50728,981
00143-updates-policy-1000-both-s11-d10-m1-updates-nibli-r2,updates,policy,1000,both,10,True,updates,nibli,11,2,ok,24627.126346000296,49884,981
00145-bounds-chain-8-forward-s131-d5-m0-verdict-nibli-r0,bounds,chain,8,forward,5,False,verdict,nibli,131,0,ok,3010.375738998846,6820,8
00146-bounds-chain-8-forward-s131-d5-m0-verdict-nibli-r1,bounds,chain,8,forward,5,False,verdict,nibli,131,1,ok,2967.3385770001914,6948,8
00147-bounds-chain-8-forward-s131-d5-m0-verdict-nibli-r2,bounds,chain,8,forward,5,False,verdict,nibli,131,2,ok,3034.378092001134,6948,8
00149-bounds-chain-8-backward-s11-d20-m0-verdict-nibli-r0,bounds,chain,8,backward,20,False,verdict,nibli,11,0,ok,35.65208699910727,4900,8
00150-bounds-chain-8-backward-s11-d20-m0-verdict-nibli-r1,bounds,chain,8,backward,20,False,verdict,nibli,11,1,ok,34.87845200106676,4900,8
00151-bounds-chain-8-backward-s11-d20-m0-verdict-nibli-r2,bounds,chain,8,backward,20,False,verdict,nibli,11,2,ok,33.51731099974131,4900,8
00153-bounds-chain-8-backward-s131-d5-m1-verdict-nibli-r0,bounds,chain,8,backward,5,True,verdict,nibli,131,0,ok,34.47111000059522,4900,8
00154-bounds-chain-8-backward-s131-d5-m1-verdict-nibli-r1,bounds,chain,8,backward,5,True,verdict,nibli,131,1,ok,34.14016799979436,4900,8
